command_title,relative_path,status,parameter_images,usage_images,effect_images
文本转为Json对象,commands/data-processing/parsejsoncommand.mdx,semantic_reclassified,parsejsoncommand-01.png,parsejsoncommand-03.png;parsejsoncommand-02.png,parsejsoncommand-04.png
产生随机数,commands/data-processing/randomnumbercommand.mdx,semantic_reclassified,randomnumbercommand-01.png,randomnumbercommand-03.png;randomnumbercommand-02.png,randomnumbercommand-04.png
正则匹配,commands/data-processing/regexmatchcommand.mdx,normalized,regexmatchcommand-01.png;regexmatchcommand-02.png,regexmatchcommand-03.png;regexmatchcommand-05.png,regexmatchcommand-04.png;regexmatchcommand-06.png
删除列表数据,commands/data-processing/removelistitemcommand.mdx,semantic_reclassified,removelistitemcommand-01.png,removelistitemcommand-03.png;removelistitemcommand-02.png,removelistitemcommand-04.png;removelistitemcommand-05.png
文本替换(正则替换),commands/data-processing/replacetextcommand.mdx,semantic_reclassified,replacetextcommand-01.png,replacetextcommand-03.png;replacetextcommand-02.png,replacetextcommand-04.png
反转列表,commands/data-processing/reverselistcommand.mdx,normalized,reverselistcommand-02.png,reverselistcommand-03.png,reverselistcommand-01.png;reverselistcommand-04.png;reverselistcommand-05.png
写入数据到字典,commands/data-processing/setdictionarykeyvaluecommand.mdx,normalized,setdictionarykeyvaluecommand-05.png,setdictionarykeyvaluecommand-01.png;setdictionarykeyvaluecommand-06.png,setdictionarykeyvaluecommand-02.png;setdictionarykeyvaluecommand-03.png;setdictionarykeyvaluecommand-04.png
设置变量（1.x版本）,commands/data-processing/setvariablecommand.mdx,semantic_reclassified,setvariablecommand-01.png;setvariablecommand-02.png,setvariablecommand-07.png;setvariablecommand-03.png;setvariablecommand-08.png,setvariablecommand-04.png;setvariablecommand-05.png;setvariablecommand-06.png;setvariablecommand-09.png
拆分文本,commands/data-processing/splittextcommand.mdx,semantic_reclassified,splittextcommand-01.png,splittextcommand-03.png;splittextcommand-02.png,splittextcommand-04.png
文本转换为数值,commands/data-processing/texttonumbercommand.mdx,semantic_reclassified,texttonumbercommand-01.png,texttonumbercommand-03.png;texttonumbercommand-02.png,texttonumbercommand-04.png
时间戳转换为日期时间,commands/data-processing/timestampconverttodatetimecommand.mdx,normalized,timestampconverttodatetimecommand-02.png,timestampconverttodatetimecommand-01.png,timestampconverttodatetimecommand-03.png
去除空格,commands/data-processing/trimtextcommand.mdx,normalized,trimtextcommand-02.png,trimtextcommand-03.png,trimtextcommand-01.png
修改列表,commands/data-processing/updatelistitemcommand.mdx,normalized,updatelistitemcommand-01.png,updatelistitemcommand-02.png;updatelistitemcommand-03.png,updatelistitemcommand-04.png;updatelistitemcommand-05.png
URL解码,commands/data-processing/urldecodecommand.mdx,normalized,urldecodecommand-01.png,urldecodecommand-02.png;urldecodecommand-03.png,
数据库批量插入数据,commands/database/batchinserttodatabasecommand.mdx,normalized,batchinserttodatabasecommand-09.png,batchinserttodatabasecommand-05.png;batchinserttodatabasecommand-04.png;batchinserttodatabasecommand-02.png;batchinserttodatabasecommand-03.png,batchinserttodatabasecommand-06.png;batchinserttodatabasecommand-07.png;batchinserttodatabasecommand-08.png;batchinserttodatabasecommand-01.png
关闭数据库,commands/database/closedatabasecommand.mdx,normalized,closedatabasecommand-02.png,closedatabasecommand-01.png,closedatabasecommand-03.png
连接数据库,commands/database/connecttodatabasecommand.mdx,semantic_reclassified,connecttodatabasecommand-01.png;connecttodatabasecommand-02.png,connecttodatabasecommand-04.png;connecttodatabasecommand-03.png,connecttodatabasecommand-05.png
执行SQL语句,commands/database/executesqlcommand.mdx,normalized,executesqlcommand-05.png,executesqlcommand-04.png,executesqlcommand-02.png;executesqlcommand-03.png;executesqlcommand-01.png
导出数据表格,commands/datatable/exportdatasheettofilecommand.mdx,semantic_reclassified,exportdatasheettofilecommand-01.png,exportdatasheettofilecommand-03.png;exportdatasheettofilecommand-02.png,
读取数据表格内容,commands/datatable/readdatasheetcommand.mdx,normalized,readdatasheetcommand-01.png,readdatasheetcommand-02.png;readdatasheetcommand-03.png,
获取所有Sheet页名称,commands/dingtalk/getalldingtalksheetnamescommand.mdx,normalized,getalldingtalksheetnamescommand-04.png,getalldingtalksheetnamescommand-01.png,getalldingtalksheetnamescommand-02.png;getalldingtalksheetnamescommand-03.png
获取总行数,commands/dingtalk/getdingtalksheetrowcountcommand.mdx,normalized,getdingtalksheetrowcountcommand-01.png,getdingtalksheetrowcountcommand-02.png;getdingtalksheetrowcountcommand-03.png,
插入行/列,commands/dingtalk/insertdingtalkroworcolumncommand.mdx,normalized,insertdingtalkroworcolumncommand-03.png,insertdingtalkroworcolumncommand-02.png,insertdingtalkroworcolumncommand-01.png
读取表格数据,commands/dingtalk/readdingtalksheetcommand.mdx,normalized,readdingtalksheetcommand-04.png,readdingtalksheetcommand-01.png,readdingtalksheetcommand-03.png;readdingtalksheetcommand-02.png
写入表格数据,commands/dingtalk/writetodingtalksheetcommand.mdx,normalized,writetodingtalksheetcommand-01.png,writetodingtalksheetcommand-02.png;writetodingtalksheetcommand-03.png,writetodingtalksheetcommand-04.png;writetodingtalksheetcommand-05.png
标记邮件,commands/email/addflagtoemailcommand.mdx,normalized,addflagtoemailcommand-03.png,addflagtoemailcommand-04.png;addflagtoemailcommand-05.png,addflagtoemailcommand-01.png;addflagtoemailcommand-02.png
下载邮件附件,commands/email/downloademailattachmentcommand.mdx,normalized,downloademailattachmentcommand-03.png,downloademailattachmentcommand-02.png,downloademailattachmentcommand-04.png;downloademailattachmentcommand-01.png
获取邮件,commands/email/getemailscommand.mdx,normalized,getemailscommand-01.png,getemailscommand-02.png;getemailscommand-03.png,getemailscommand-04.png
登录邮箱,commands/email/logintomailboxcommand.mdx,semantic_reclassified,logintomailboxcommand-01.png,logintomailboxcommand-03.png;logintomailboxcommand-04.png;logintomailboxcommand-02.png,logintomailboxcommand-05.png;logintomailboxcommand-06.png;logintomailboxcommand-07.png;logintomailboxcommand-08.png;logintomailboxcommand-09.png
移动邮件,commands/email/moveemailcommand.mdx,normalized,moveemailcommand-02.png,moveemailcommand-03.png,moveemailcommand-01.png;moveemailcommand-04.png
发送邮件,commands/email/sendemailcommand.mdx,semantic_reclassified,sendemailcommand-01.png,sendemailcommand-05.png;sendemailcommand-06.png;sendemailcommand-07.png;sendemailcommand-08.png;sendemailcommand-09.png;sendemailcommand-02.png;sendemailcommand-03.png,sendemailcommand-04.png
激活Sheet页,commands/excel/activateexcelsheetcommand.mdx,normalized,activateexcelsheetcommand-01.png,activateexcelsheetcommand-02.png;activateexcelsheetcommand-03.png,activateexcelsheetcommand-04.png;activateexcelsheetcommand-05.png
单元格插入图片,commands/excel/addimagetoexcelcommand.mdx,semantic_reclassified,addimagetoexcelcommand-01.png;addimagetoexcelcommand-04.png,addimagetoexcelcommand-03.png;addimagetoexcelcommand-02.png,
自动填充,commands/excel/autofillexcelcommand.mdx,semantic_reclassified,autofillexcelcommand-01.png,autofillexcelcommand-03.png;autofillexcelcommand-02.png,autofillexcelcommand-04.png;autofillexcelcommand-05.png
清除单元格格式,commands/excel/clearexcelcellformatcommand.mdx,semantic_reclassified,clearexcelcellformatcommand-01.png,clearexcelcellformatcommand-03.png;clearexcelcellformatcommand-02.png,clearexcelcellformatcommand-04.png;clearexcelcellformatcommand-05.png
删除Excel中的重复行,commands/excel/deleteexcelduplicaterowcommand.mdx,normalized,deleteexcelduplicaterowcommand-01.png,deleteexcelduplicaterowcommand-02.png;deleteexcelduplicaterowcommand-04.png;deleteexcelduplicaterowcommand-03.png,deleteexcelduplicaterowcommand-05.png;deleteexcelduplicaterowcommand-06.png
删除Excel图片,commands/excel/deleteexcelimagecommand.mdx,semantic_reclassified,deleteexcelimagecommand-01.png,deleteexcelimagecommand-03.png;deleteexcelimagecommand-02.png,deleteexcelimagecommand-04.png;deleteexcelimagecommand-05.png
删除Sheet页,commands/excel/deleteexcelsheetcommand.mdx,semantic_reclassified,deleteexcelsheetcommand-01.png,deleteexcelsheetcommand-03.png;deleteexcelsheetcommand-02.png,deleteexcelsheetcommand-04.png;deleteexcelsheetcommand-05.png;deleteexcelsheetcommand-06.png
导出单元格图片,commands/excel/exportexcelimagecommand.mdx,semantic_reclassified,exportexcelimagecommand-01.png,exportexcelimagecommand-03.png;exportexcelimagecommand-02.png,exportexcelimagecommand-04.png
Excel筛选,commands/excel/filterexcelcolumncommand.mdx,semantic_reclassified,filterexcelcolumncommand-01.png,filterexcelcolumncommand-05.png;filterexcelcolumncommand-06.png;filterexcelcolumncommand-02.png;filterexcelcolumncommand-04.png,filterexcelcolumncommand-03.png;filterexcelcolumncommand-07.png;filterexcelcolumncommand-08.png;filterexcelcolumncommand-09.png
查找/替换数据,commands/excel/findexcelcellcommand.mdx,semantic_reclassified,findexcelcellcommand-01.png,findexcelcellcommand-02.png;findexcelcellcommand-03.png;findexcelcellcommand-05.png;findexcelcellcommand-04.png,findexcelcellcommand-06.png;findexcelcellcommand-07.png;findexcelcellcommand-08.png
获取Excel总列数,commands/excel/getexcelcolumncountcommand.mdx,normalized,getexcelcolumncountcommand-01.png,getexcelcolumncountcommand-02.png;getexcelcolumncountcommand-03.png,getexcelcolumncountcommand-04.png
获取单元格公式,commands/excel/getexcelformulacommand.mdx,normalized,getexcelformulacommand-01.png,getexcelformulacommand-02.png;getexcelformulacommand-03.png,getexcelformulacommand-04.png
Excel区域截图,commands/excel/getexcelregionscreenshotcommand.mdx,normalized,getexcelregionscreenshotcommand-01.png,getexcelregionscreenshotcommand-03.png;getexcelregionscreenshotcommand-02.png,getexcelregionscreenshotcommand-04.png;getexcelregionscreenshotcommand-05.png;getexcelregionscreenshotcommand-06.png
获取Excel总行数,commands/excel/getexcelrowcountcommand.mdx,normalized,getexcelrowcountcommand-01.png,getexcelrowcountcommand-02.png;getexcelrowcountcommand-03.png,getexcelrowcountcommand-04.png
获取Sheet页名称,commands/excel/getexcelsheetnamecommand.mdx,semantic_reclassified,getexcelsheetnamecommand-01.png,getexcelsheetnamecommand-04.png;getexcelsheetnamecommand-02.png,getexcelsheetnamecommand-03.png
获取列尾首个空白单元格,commands/excel/getlastemptycellofcolumncommand.mdx,normalized,getlastemptycellofcolumncommand-01.png,getlastemptycellofcolumncommand-02.png;getlastemptycellofcolumncommand-03.png,getlastemptycellofcolumncommand-04.png
启动Excel,commands/excel/launchexcelcommand.mdx,semantic_reclassified,launchexcelcommand-01.png,launchexcelcommand-03.png;launchexcelcommand-02.png,
读取筛选内容,commands/excel/readfilteredcontentcommand.mdx,semantic_reclassified,readfilteredcontentcommand-01.png,readfilteredcontentcommand-03.png;readfilteredcontentcommand-02.png,readfilteredcontentcommand-04.png;readfilteredcontentcommand-05.png;readfilteredcontentcommand-06.png
重命名Sheet页,commands/excel/renameexcelsheetcommand.mdx,semantic_reclassified,renameexcelsheetcommand-01.png,renameexcelsheetcommand-04.png;renameexcelsheetcommand-02.png,renameexcelsheetcommand-03.png;renameexcelsheetcommand-05.png;renameexcelsheetcommand-06.png
运行Excel宏,commands/excel/runexcelmacrocommand.mdx,semantic_reclassified,runexcelmacrocommand-01.png;runexcelmacrocommand-02.png,runexcelmacrocommand-03.png,runexcelmacrocommand-04.png;runexcelmacrocommand-05.png
保存/另存为excel,commands/excel/saveexcelcommand.mdx,semantic_reclassified,saveexcelcommand-01.png,saveexcelcommand-03.png;saveexcelcommand-02.png,saveexcelcommand-04.png
设置单元格格式,commands/excel/setexcelcellformatcommand.mdx,semantic_reclassified,setexcelcellformatcommand-01.png,setexcelcellformatcommand-03.png;setexcelcellformatcommand-04.png;setexcelcellformatcommand-02.png,setexcelcellformatcommand-05.png;setexcelcellformatcommand-06.png
设置行高/列宽,commands/excel/setexcelcellsizecommand.mdx,semantic_reclassified,setexcelcellsizecommand-01.png,setexcelcellsizecommand-03.png;setexcelcellsizecommand-02.png,setexcelcellsizecommand-04.png;setexcelcellsizecommand-05.png
按单元格写入内容至Excel工作表,commands/excel/writeexcelcellcommand.mdx,semantic_reclassified,writeexcelcellcommand-01.png,writeexcelcellcommand-03.png;writeexcelcellcommand-02.png,writeexcelcellcommand-04.png
按列写入内容至Excel工作表,commands/excel/writeexcelcolumncommand.mdx,semantic_reclassified,writeexcelcolumncommand-01.png,writeexcelcolumncommand-03.png;writeexcelcolumncommand-02.png,writeexcelcolumncommand-04.png;writeexcelcolumncommand-05.png;writeexcelcolumncommand-06.png
按行写入内容至Excel工作表,commands/excel/writeexcelrowcommand.mdx,semantic_reclassified,writeexcelrowcommand-01.png,writeexcelrowcommand-03.png;writeexcelrowcommand-02.png,writeexcelrowcommand-04.png
飞书群通知,commands/feishu/IgnCWQ.mdx,semantic_reclassified,IgnCWQ-01.png,IgnCWQ-03.png;IgnCWQ-02.png,IgnCWQ-04.png;IgnCWQ-05.png
插入空列至飞书表格,commands/feishu/addcolumntolarkspreadsheetcommand.mdx,normalized,addcolumntolarkspreadsheetcommand-05.png,addcolumntolarkspreadsheetcommand-03.png,addcolumntolarkspreadsheetcommand-01.png;addcolumntolarkspreadsheetcommand-02.png;addcolumntolarkspreadsheetcommand-04.png
新增数据表,commands/feishu/addlarkbitabledatatablecommand.mdx,normalized,addlarkbitabledatatablecommand-04.png,addlarkbitabledatatablecommand-01.png,addlarkbitabledatatablecommand-02.png;addlarkbitabledatatablecommand-03.png
新增字段,commands/feishu/addlarkbitablefieldcommand.mdx,normalized,addlarkbitablefieldcommand-03.png,addlarkbitablefieldcommand-01.png,addlarkbitablefieldcommand-02.png;addlarkbitablefieldcommand-04.png
新增记录,commands/feishu/addlarkbitablerecordcommand.mdx,normalized,addlarkbitablerecordcommand-04.png,addlarkbitablerecordcommand-01.png,addlarkbitablerecordcommand-02.png;addlarkbitablerecordcommand-03.png
插入空行至飞书表格,commands/feishu/addrowtolarkspreadsheetcommand.mdx,normalized,addrowtolarkspreadsheetcommand-01.png,addrowtolarkspreadsheetcommand-02.png;addrowtolarkspreadsheetcommand-03.png,addrowtolarkspreadsheetcommand-04.png
删除飞书表格列,commands/feishu/deletecolumnfromlarkspreadsheetcommand.mdx,normalized,deletecolumnfromlarkspreadsheetcommand-01.png,deletecolumnfromlarkspreadsheetcommand-02.png;deletecolumnfromlarkspreadsheetcommand-04.png,deletecolumnfromlarkspreadsheetcommand-03.png;deletecolumnfromlarkspreadsheetcommand-05.png
删除字段,commands/feishu/deletelarkbitablefieldcommand.mdx,normalized,deletelarkbitablefieldcommand-03.png,deletelarkbitablefieldcommand-01.png,deletelarkbitablefieldcommand-02.png;deletelarkbitablefieldcommand-04.png;deletelarkbitablefieldcommand-05.png
删除记录,commands/feishu/deletelarkbitablerecordcommand.mdx,normalized,deletelarkbitablerecordcommand-01.png,deletelarkbitablerecordcommand-02.png;deletelarkbitablerecordcommand-03.png,deletelarkbitablerecordcommand-04.png
删除视图,commands/feishu/deletelarkbitableviewcommand.mdx,normalized,deletelarkbitableviewcommand-03.png,deletelarkbitableviewcommand-01.png,deletelarkbitableviewcommand-02.png
删除飞书表格行,commands/feishu/deleterowfromlarkspreadsheetcommand.mdx,normalized,deleterowfromlarkspreadsheetcommand-05.png,deleterowfromlarkspreadsheetcommand-02.png,deleterowfromlarkspreadsheetcommand-01.png;deleterowfromlarkspreadsheetcommand-03.png;deleterowfromlarkspreadsheetcommand-04.png
查找飞书单元格,commands/feishu/findlarkspreadsheetcellcommand.mdx,normalized,findlarkspreadsheetcellcommand-03.png,findlarkspreadsheetcellcommand-02.png,findlarkspreadsheetcellcommand-04.png;findlarkspreadsheetcellcommand-01.png
获取飞书访问凭证,commands/feishu/getlarkaccesstokencommand.mdx,normalized,getlarkaccesstokencommand-03.png,getlarkaccesstokencommand-02.png,getlarkaccesstokencommand-01.png
获取字段,commands/feishu/getlarkbitablefieldcommand.mdx,semantic_reclassified,getlarkbitablefieldcommand-01.png,getlarkbitablefieldcommand-04.png;getlarkbitablefieldcommand-02.png;getlarkbitablefieldcommand-03.png,getlarkbitablefieldcommand-05.png
获取记录详情,commands/feishu/getlarkbitablerecordcommand.mdx,normalized,getlarkbitablerecordcommand-03.png,getlarkbitablerecordcommand-01.png,getlarkbitablerecordcommand-02.png
获取视图,commands/feishu/getlarkbitableviewcommand.mdx,normalized,getlarkbitableviewcommand-04.png,getlarkbitableviewcommand-01.png,getlarkbitableviewcommand-02.png;getlarkbitableviewcommand-03.png
获取飞书表格,commands/feishu/getlarkspreadsheetcommand.mdx,semantic_reclassified,getlarkspreadsheetcommand-01.png,getlarkspreadsheetcommand-03.png;getlarkspreadsheetcommand-02.png,
重命名数据表,commands/feishu/renamelarkbitabledatatablecommand.mdx,normalized,renamelarkbitabledatatablecommand-03.png,renamelarkbitabledatatablecommand-01.png,renamelarkbitabledatatablecommand-02.png
重命名视图,commands/feishu/updatelarkbitableviewcommand.mdx,normalized,updatelarkbitableviewcommand-02.png,updatelarkbitableviewcommand-03.png,updatelarkbitableviewcommand-01.png
写入列至飞书表格,commands/feishu/writecolumntolarkspreadsheetcommand.mdx,normalized,writecolumntolarkspreadsheetcommand-04.png,writecolumntolarkspreadsheetcommand-03.png,writecolumntolarkspreadsheetcommand-01.png;writecolumntolarkspreadsheetcommand-05.png;writecolumntolarkspreadsheetcommand-02.png
写入行至飞书表格,commands/feishu/writerowtolarkspreadsheetcommand.mdx,normalized,writerowtolarkspreadsheetcommand-02.png,writerowtolarkspreadsheetcommand-01.png,writerowtolarkspreadsheetcommand-04.png;writerowtolarkspreadsheetcommand-05.png;writerowtolarkspreadsheetcommand-03.png
插入空列至谷歌表格,commands/google/addcolumntogooglespreadsheetcommand.mdx,normalized,addcolumntogooglespreadsheetcommand-01.png,addcolumntogooglespreadsheetcommand-02.png;addcolumntogooglespreadsheetcommand-04.png,addcolumntogooglespreadsheetcommand-03.png
删除谷歌表格列,commands/google/deletecolumnfromgooglespreadsheetcommand.mdx,normalized,deletecolumnfromgooglespreadsheetcommand-02.png,deletecolumnfromgooglespreadsheetcommand-01.png,deletecolumnfromgooglespreadsheetcommand-03.png
查找谷歌单元格,commands/google/findgooglespreadsheetcellcommand.mdx,normalized,findgooglespreadsheetcellcommand-03.png,findgooglespreadsheetcellcommand-01.png,findgooglespreadsheetcellcommand-02.png;findgooglespreadsheetcellcommand-04.png;findgooglespreadsheetcellcommand-05.png
获取谷歌访问凭证,commands/google/getgooglecredentialcommand.mdx,normalized,getgooglecredentialcommand-01.png,getgooglecredentialcommand-02.png,getgooglecredentialcommand-03.png
获取谷歌表格,commands/google/getgooglespreadsheetcommand.mdx,normalized,getgooglespreadsheetcommand-03.png,getgooglespreadsheetcommand-01.png,getgooglespreadsheetcommand-02.png;getgooglespreadsheetcommand-04.png
读取谷歌表格内容,commands/google/readgooglespreadsheetcommand.mdx,normalized,readgooglespreadsheetcommand-04.png,readgooglespreadsheetcommand-02.png,readgooglespreadsheetcommand-01.png;readgooglespreadsheetcommand-03.png
写入列至谷歌表格,commands/google/writecolumntogooglespreadsheetcommand.mdx,normalized,writecolumntogooglespreadsheetcommand-02.png,writecolumntogooglespreadsheetcommand-01.png,writecolumntogooglespreadsheetcommand-03.png;writecolumntogooglespreadsheetcommand-04.png
写入行至谷歌表格,commands/google/writerowtogooglespreadsheetcommand.mdx,normalized,writerowtogooglespreadsheetcommand-01.png,writerowtogooglespreadsheetcommand-02.png;writerowtogooglespreadsheetcommand-03.png,writerowtogooglespreadsheetcommand-04.png
钉钉群通知,commands/group-notification/notifydingtalkgroupcommand.mdx,normalized,notifydingtalkgroupcommand-03.png,notifydingtalkgroupcommand-02.png,notifydingtalkgroupcommand-01.png
企业微信群通知,commands/group-notification/notifywechatworkgroupcommand.mdx,semantic_reclassified,notifywechatworkgroupcommand-01.png,notifywechatworkgroupcommand-03.png;notifywechatworkgroupcommand-02.png,notifywechatworkgroupcommand-04.png
